1,Party against Homework,A N Other,VALID
2,Party against Homework,A N Other,VALID
3,Party against Homework,A N Other,VALID
4,Abolish exams!,J Smith,VALID
5,Abolish exams!,J Smith,SPOILED
6,Apple Party,G Bloggs,VALID
7,Abolish exams!,J Smith,SPOILED
8,Rampant Vikings,T Thunderson,SPOILED
9,Apple Party,G Bloggs,VALID
10,Rampant Vikings,T Thunderson,SPOILED
11,Abolish exams!,J Smith,VALID
12,Apple Party,G Bloggs,VALID
13,Rampant Vikings,T Thunderson,VALID
14,Abolish exams!,J Smith,VALID
15,Party against Homework,A N Other,VALID
16,Abolish exams!,J Smith,SPOILED
17,Abolish exams!,J Smith,SPOILED
18,Abolish exams!,J Smith,SPOILED
19,Rampant Vikings,T Thunderson,SPOILED
20,Apple Party,G Bloggs,VALID
21,Rampant Vikings,T Thunderson,SPOILED
22,Party against Homework,A N Other,SPOILED
23,Rampant Vikings,T Thunderson,VALID
24,Party against Homework,A N Other,SPOILED
25,Abolish exams!,J Smith,SPOILED
26,Party against Homework,A N Other,VALID
27,Abolish exams!,J Smith,VALID
28,Party against Homework,A N Other,SPOILED
29,Party against Homework,A N Other,VALID
30,Abolish exams!,J Smith,SPOILED
31,Abolish exams!,J Smith,VALID
32,Abolish exams!,J Smith,SPOILED
33,Party against Homework,A N Other,VALID
34,Rampant Vikings,T Thunderson,SPOILED
35,Abolish exams!,J Smith,SPOILED
36,Abolish exams!,J Smith,SPOILED
37,Apple Party,G Bloggs,SPOILED
38,Abolish exams!,J Smith,VALID
39,Party against Homework,A N Other,VALID
40,Abolish exams!,J Smith,SPOILED
41,Rampant Vikings,T Thunderson,VALID
42,Rampant Vikings,T Thunderson,SPOILED
43,Apple Party,G Bloggs,SPOILED
44,Rampant Vikings,T Thunderson,SPOILED
45,Party against Homework,A N Other,VALID
46,Apple Party,G Bloggs,SPOILED
47,Apple Party,G Bloggs,VALID
48,Apple Party,G Bloggs,SPOILED
49,Abolish exams!,J Smith,VALID
50,Apple Party,G Bloggs,SPOILED
51,Party against Homework,A N Other,VALID
52,Apple Party,G Bloggs,VALID
53,Apple Party,G Bloggs,VALID
54,Rampant Vikings,T Thunderson,SPOILED
55,Party against Homework,A N Other,SPOILED
56,Rampant Vikings,T Thunderson,SPOILED
57,Apple Party,G Bloggs,SPOILED
58,Apple Party,G Bloggs,SPOILED
59,Party against Homework,A N Other,VALID
60,Party against Homework,A N Other,SPOILED
61,Apple Party,G Bloggs,VALID
62,Party against Homework,A N Other,VALID
63,Apple Party,G Bloggs,SPOILED
64,Abolish exams!,J Smith,SPOILED
65,Apple Party,G Bloggs,VALID
66,Abolish exams!,J Smith,VALID
67,Abolish exams!,J Smith,VALID
68,Abolish exams!,J Smith,VALID
69,Rampant Vikings,T Thunderson,VALID
70,Rampant Vikings,T Thunderson,VALID
71,Apple Party,G Bloggs,SPOILED
72,Rampant Vikings,T Thunderson,SPOILED
73,Abolish exams!,J Smith,SPOILED
74,Apple Party,G Bloggs,SPOILED
75,Rampant Vikings,T Thunderson,VALID
76,Rampant Vikings,T Thunderson,VALID
77,Abolish exams!,J Smith,VALID
78,Apple Party,G Bloggs,VALID
79,Apple Party,G Bloggs,SPOILED
80,Rampant Vikings,T Thunderson,VALID
81,Rampant Vikings,T Thunderson,VALID
82,Abolish exams!,J Smith,VALID
83,Apple Party,G Bloggs,SPOILED
84,Rampant Vikings,T Thunderson,VALID
85,Abolish exams!,J Smith,SPOILED
86,Apple Party,G Bloggs,SPOILED
87,Rampant Vikings,T Thunderson,VALID
88,Party against Homework,A N Other,VALID
89,Rampant Vikings,T Thunderson,VALID
90,Rampant Vikings,T Thunderson,SPOILED
91,Rampant Vikings,T Thunderson,SPOILED
92,Rampant Vikings,T Thunderson,SPOILED
93,Rampant Vikings,T Thunderson,VALID
94,Abolish exams!,J Smith,SPOILED
95,Party against Homework,A N Other,SPOILED
96,Party against Homework,A N Other,SPOILED
97,Rampant Vikings,T Thunderson,VALID
98,Abolish exams!,J Smith,VALID
99,Abolish exams!,J Smith,VALID
100,Abolish exams!,J Smith,VALID
