"Index","Year","Age","Name","Movie"
"1","1928","25","Janet Gaynor","Seventh Heaven Street Angel and Sunrise: A Song of Two Humans"
"2","1929","40","Mary Pickford","Coquette"
"3","1930","31","Norma Shearer","The Divorcee"
"4","1931","66","Marie Dressler","Min and Bill"
"5","1932","35","Helen Hayes","The Sin of Madelon Claudet"
"6","1933","29","Katharine Hepburn","Morning Glory"
"7","1934","34","Claudette Colbert","It Happened One Night"
"8","1935","30","Bette Davis","Dangerous"
"9","1936","30","Luise Rainer","The Great Ziegfeld"
"10","1937","31","Luise Rainer","The Good Earth"
"11","1938","33","Bette Davis","Jezebel"
"12","1939","29","Vivien Leigh","Gone with the Wind"
"13","1940","32","Ginger Rogers","Kitty Foyle"
"14","1941","27","Joan Fontaine","Suspicion"
"15","1942","41","Greer Garson","Mrs. Miniver"
"16","1943","28","Jennifer Jones","The Song of Bernadette"
"17","1944","32","Ingrid Bergman","Gaslight"
"18","1945","43","Joan Crawford","Mildred Pierce"
"19","1946","33","Olivia de Havilland","To Each His Own"
"20","1947","38","Loretta Young","The Farmer's Daughter"
"21","1948","35","Jane Wyman","Johnny Belinda"
"22","1949","36","Olivia de Havilland","The Heiress"
"23","1950","32","Judy Holliday","Born Yesterday"
"24","1951","41","Vivien Leigh","A Streetcar Named Desire"
"25","1952","57","Shirley Booth","Come Back Little Sheba"
"26","1953","27","Audrey Hepburn","Roman Holiday"
"27","1954","28","Grace Kelly","The Country Girl"
"28","1955","51","Anna Magnani","The Rose Tattoo"
"29","1956","44","Ingrid Bergman","Anastasia"
"30","1957","31","Joanne Woodward","The Three Faces of Eve"
"31","1958","44","Susan Hayward","I Want to Live!"
"32","1959","42","Simone Signoret","Room at the Top"
"33","1960","32","Elizabeth Taylor","Butterfield 8"
"34","1961","30","Sophia Loren","Two Women"
"35","1962","34","Anne Bancroft","The Miracle Worker"
"36","1963","34","Patricia Neal","Hud"
"37","1964","32","Julie Andrews","Mary Poppins"
"38","1965","28","Julie Christie","Darling"
"39","1966","38","Elizabeth Taylor","Who's Afraid of Virginia Woolf?"
"40","1967","63","Katharine Hepburn","Guess Who's Coming to Dinner"
"41","1968","64","Katharine Hepburn","The Lion in Winter"
"42","1969","29","Barbra Streisand","Funny Girl"
"43","1970","38","Maggie Smith","The Prime of Miss Jean Brodie"
"44","1971","37","Glenda Jackson","Women in Love"
"45","1972","37","Jane Fonda","Klute"
"46","1973","30","Liza Minnelli","Cabaret"
"47","1974","40","Glenda Jackson","A Touch of Class"
"48","1975","45","Ellen Burstyn","Alice Doesn't Live Here Anymore"
"49","1976","44","Louise Fletcher","One Flew Over the Cuckoo's Nest"
"50","1977","39","Faye Dunaway","Network"
"51","1978","35","Diane Keaton","Annie Hall"
"52","1979","44","Jane Fonda","Coming Home"
"53","1980","36","Sally Field","Norma Rae"
"54","1981","34","Sissy Spacek","Coal Miner's Daughter"
"55","1982","77","Katharine Hepburn","On Golden Pond"
"56","1983","36","Meryl Streep","Sophie's Choice"
"57","1984","52","Shirley MacLaine","Terms of Endearment"
"58","1985","41","Sally Field","Places in the Heart"
"59","1986","64","Geraldine Page","The Trip to Bountiful"
"60","1987","24","Marlee Matlin","Children of a Lesser God"
"61","1988","44","Cher","Moonstruck"
"62","1989","29","Jodie Foster","The Accused"
"63","1990","83","Jessica Tandy","Driving Miss Daisy"
"64","1991","45","Kathy Bates","Misery"
"65","1992","32","Jodie Foster","The Silence of the Lambs"
"66","1993","36","Emma Thompson","Howards End"
"67","1994","39","Holly Hunter","The Piano"
"68","1995","48","Jessica Lange","Blue Sky"
"69","1996","52","Susan Sarandon","Dead Man Walking"
"70","1997","42","Frances McDormand","Fargo"
"71","1998","37","Helen Hunt","As Good as It Gets"
"72","1999","29","Gwyneth Paltrow","Shakespeare in Love"
"73","2000","28","Hilary Swank","Boys Don't Cry"
"74","2001","36","Julia Roberts","Erin Brockovich"
"75","2002","38","Halle Berry","Monster's Ball"
"76","2003","38","Nicole Kidman","The Hours"
"77","2004","31","Charlize Theron","Monster"
"78","2005","33","Hilary Swank","Million Dollar Baby"
"79","2006","32","Reese Witherspoon","Walk the Line"
"80","2007","64","Helen Mirren","The Queen"
"81","2008","35","Marion Cotillard","La Vie en rose"
"82","2009","36","Kate Winslet","The Reader"
"83","2010","48","Sandra Bullock","The Blind Side"
"84","2011","32","Natalie Portman","Black Swan"
"85","2012","65","Meryl Streep","The Iron Lady"
"86","2013","25","Jennifer Lawrence","Silver Linings Playbook"
"87","2014","47","Cate Blanchett","Blue Jasmine"
"88","2015","57","Julianne Moore","Still Alice"
"89","2016","29","Brie Larson","Room"
